1|1
2|1
2|9
1|9
2|25
1|25
2|41
1|41
2|56
1|56
2|72
1|72
2|88
1|88
2|103
1|103
2|119
1|119
2|134
1|134
2|150
1|150
2|166
1|166
2|182
1|182
1|197
2|197
2|213
1|213
1|229
2|229
2|245
1|245
1|261
2|261
2|277
1|277
1|293
2|293
2|307
1|307
1|323
2|323
2|339
1|339
1|355
2|355
2|371
1|371
1|386
2|386
2|402
1|402
1|418
2|418
2|434
1|434
1|451
2|451
2|466
1|466
1|482
2|482
2|498
1|498
1|513
2|513
2|528
1|528
1|543
2|543
2|559
1|559
1|575
2|575
2|591
1|591
1|607
2|607
2|623
1|623
1|639
2|639
2|654
1|654
1|670
2|670
2|686
1|686
1|702
2|702
2|717
1|717
1|733
2|733
2|748
1|748
1|763
2|763
2|778
1|778
1|794
2|794
2|809
1|809
1|825
2|825
2|841
1|841
1|857
2|857
2|873
1|873
1|888
2|889
2|903
1|903
1|918
2|918
2|933
1|933
1|949
2|949
2|965
1|966
1|981
2|981
2|997
1|997
1|1013
2|1013
2|1029
1|1029
1|1045
2|1045
2|1061
1|1061
1|1077
2|1077
2|1092
1|1092
1|1108
2|1108
2|1124
1|1124
1|1140
2|1140
2|1155
1|1155
1|1171
2|1171
2|1187
1|1187
1|1203
2|1203
2|1219
1|1219
1|1234
2|1234
2|1250
1|1250
1|1266
2|1266
2|1282
1|1282
1|1298
2|1298
2|1314
1|1314
1|1330
2|1330
2|1346
1|1346
1|1362
2|1362
2|1378
1|1378
1|1394
2|1394
2|1410
1|1410
1|1426
2|1426
2|1442
1|1442
1|1458
2|1458
2|1474
1|1474
1|1490
2|1490
2|1506
1|1506
1|1522
2|1522
2|1538
1|1538
1|1553
2|1553
2|1569
1|1569
1|1585
2|1585
2|1600
1|1600
1|1616
2|1616
2|1631
1|1631
1|1647
2|1647
2|1663
1|1663
1|1679
2|1679
2|1694
1|1694
1|1710
2|1710
2|1726
1|1726
1|1743
2|1743
2|1758
1|1758
1|1774
2|1774
2|1789
1|1789
1|1805
2|1805
2|1820
1|1820
1|1836
2|1837
2|1852
1|1852
1|1867
2|1867
2|1883
1|1883
1|1898
2|1898
2|1914
1|1914
1|1930
2|1930
2|1946
1|1946
1|1962
2|1962
2|1978
1|1978
1|1994
2|1994
2|2010
1|2010
1|2026
2|2026
2|2041
1|2041
1|2057
2|2057
2|2073
1|2073
1|2089
2|2089
2|2105
1|2105
1|2121
2|2121
2|2137
1|2137
1|2153
2|2153
2|2169
1|2169
1|2185
2|2185
2|2201
1|2201
1|2217
2|2217
2|2232
1|2232
1|2248
2|2248
2|2264
1|2264
1|2280
2|2280
1|2296
2|2296
1|2312
2|2312
1|2328
2|2328
1|2343
2|2343
1|2359
2|2359
1|2375
2|2375
2|2390
1|2390
1|2406
2|2406
2|2422
1|2422
1|2438
2|2438
2|2453
1|2453
1|2468
2|2468
2|2484
1|2484
1|2500
2|2500
2|2516
1|2516
1|2532
2|2532
2|2548
1|2548
1|2564
2|2564
2|2579
1|2579
1|2595
2|2595
2|2610
1|2610
1|2626
2|2626
2|2643
1|2643
1|2659
2|2659
2|2675
1|2675
1|2691
2|2691
2|2707
1|2707
1|2723
2|2723
2|2739
1|2739
1|2754
2|2754
2|2770
1|2770
1|2786
2|2786
2|2802
1|2802
1|2818
2|2818
2|2834
1|2834
1|2850
2|2850
2|2866
1|2866
1|2882
2|2882
2|2898
1|2898
1|2914
2|2914
2|2930
1|2930
1|2945
2|2945
2|2961
1|2961
1|2977
2|2977
2|2993
1|2993
1|3008
2|3008
2|3024
1|3024
1|3040
2|3040
2|3056
1|3056
1|3072
2|3072
2|3088
1|3088
1|3103
2|3103
2|3118
1|3118
1|3134
2|3134
